county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,brad_schimel_rep,josh_kaul_dem,terry_larson_con,scattering,race
GREEN,Town of ALBANY,Town of ALBANY Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,292,286,13,0,attorney general
GREEN,Town of BROOKLYN,Town of BROOKLYN Wards 1-3,Congressional - District 2,State Senate - District 27,Assembly - District 80,298,340,9,1,attorney general
GREEN,Town of CADIZ,Town of CADIZ Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,231,145,8,0,attorney general
GREEN,Town of CLARNO,Town of CLARNO Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,330,228,7,0,attorney general
GREEN,Town of DECATUR,Town of DECATUR Wards 1-3,Congressional - District 2,State Senate - District 15,Assembly - District 45,428,407,20,0,attorney general
GREEN,Town of EXETER,Town of EXETER Wards 1-4,Congressional - District 2,State Senate - District 27,Assembly - District 80,405,657,17,1,attorney general
GREEN,Town of JEFFERSON,Town of JEFFERSON Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,326,202,16,1,attorney general
GREEN,Town of JORDAN,Town of JORDAN Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,143,124,6,0,attorney general
GREEN,Town of MONROE,Town of MONROE Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,331,258,9,1,attorney general
GREEN,Town of MOUNT PLEASANT,Town of MOUNT PLEASANT Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,56,68,9,0,attorney general
GREEN,Town of MOUNT PLEASANT,Town of MOUNT PLEASANT Wards 2-3,Congressional - District 2,State Senate - District 15,Assembly - District 45,78,105,2,0,attorney general
GREEN,Town of NEW GLARUS,Town of NEW GLARUS Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,326,427,7,0,attorney general
GREEN,Town of SPRING GROVE,Town of SPRING GROVE Ward 1,Congressional - District 2,State Senate - District 15,Assembly - District 45,266,154,15,0,attorney general
GREEN,Town of SYLVESTER,Town of SYLVESTER Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,317,197,7,0,attorney general
GREEN,Town of WASHINGTON,Town of WASHINGTON Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,176,213,2,0,attorney general
GREEN,Town of YORK,Town of YORK Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,204,300,16,1,attorney general
GREEN,Village of ALBANY,Village of ALBANY Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,138,237,11,0,attorney general
GREEN,VILLAGE OF BELLEVILLE,VILLAGE OF BELLEVILLE Ward 3,Congressional - District 2,State Senate - District 27,Assembly - District 80,76,166,4,0,attorney general
GREEN,VILLAGE OF BROOKLYN,VILLAGE OF BROOKLYN Ward 2,Congressional - District 2,State Senate - District 27,Assembly - District 80,65,149,1,0,attorney general
GREEN,Village of BROWNTOWN,Village of BROWNTOWN Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,54,36,2,0,attorney general
GREEN,Village of MONTICELLO,Village of MONTICELLO Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,204,338,8,1,attorney general
GREEN,Village of NEW GLARUS,Village of NEW GLARUS Wards 1-4,Congressional - District 2,State Senate - District 27,Assembly - District 80,353,779,20,0,attorney general
GREEN,City of BRODHEAD,City of BRODHEAD Wards 1-6,Congressional - District 2,State Senate - District 15,Assembly - District 45,544,555,23,0,attorney general
GREEN,City of MONROE,City of MONROE Wards 1-9,Congressional - District 2,State Senate - District 17,Assembly - District 51,1895,2344,110,2,attorney general
GREEN,City of MONROE,City of MONROE Ward 10,Congressional - District 2,State Senate - District 15,Assembly - District 45,0,0,0,0,attorney general
GREEN LAKE,Town of BERLIN,Town of BERLIN Wards 1-3,Congressional - District 6,State Senate - District 14,Assembly - District 41,445,139,3,0,attorney general
GREEN LAKE,Town of BROOKLYN,Town of BROOKLYN Wards 1-3,Congressional - District 6,State Senate - District 14,Assembly - District 41,710,353,14,0,attorney general
GREEN LAKE,Town of GREEN LAKE,Town of GREEN LAKE Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 41,475,161,2,0,attorney general
GREEN LAKE,Town of KINGSTON,Town of KINGSTON Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 42,182,62,5,0,attorney general
GREEN LAKE,Town of MACKFORD,Town of MACKFORD Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,191,49,1,0,attorney general
GREEN LAKE,Town of MANCHESTER,Town of MANCHESTER Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,227,78,5,0,attorney general
GREEN LAKE,Town of MARQUETTE,Town of MARQUETTE Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,162,64,3,0,attorney general
GREEN LAKE,Town of PRINCETON,Town of PRINCETON Wards 1-4,Congressional - District 6,State Senate - District 14,Assembly - District 41,516,280,4,0,attorney general
GREEN LAKE,Town of ST. MARIE,Town of ST. MARIE Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 41,140,60,3,0,attorney general
GREEN LAKE,Town of SENECA,Town of SENECA Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,105,74,5,0,attorney general
GREEN LAKE,Village of KINGSTON,Village of KINGSTON Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,102,46,1,0,attorney general
GREEN LAKE,Village of MARQUETTE,Village of MARQUETTE Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,51,25,2,0,attorney general
GREEN LAKE,City of BERLIN,City of BERLIN Wards 1-6,Congressional - District 6,State Senate - District 14,Assembly - District 41,1043,746,38,1,attorney general
GREEN LAKE,City of GREEN LAKE,City of GREEN LAKE Wards 1-5,Congressional - District 6,State Senate - District 14,Assembly - District 41,280,191,3,0,attorney general
GREEN LAKE,City of MARKESAN,City of MARKESAN Wards 1-3,Congressional - District 6,State Senate - District 14,Assembly - District 41,374,161,11,0,attorney general
GREEN LAKE,City of PRINCETON,City of PRINCETON Wards 1-4,Congressional - District 6,State Senate - District 14,Assembly - District 41,291,197,12,0,attorney general
IOWA,Town of ARENA,Town of ARENA Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 81,296,443,9,1,attorney general
IOWA,Town of BRIGHAM,Town of BRIGHAM Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,212,367,5,0,attorney general
IOWA,Town of CLYDE,Town of CLYDE Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,66,111,6,0,attorney general
IOWA,Town of DODGEVILLE,Town of DODGEVILLE Wards 1-4,Congressional - District 2,State Senate - District 17,Assembly - District 51,391,487,17,1,attorney general
IOWA,Town of EDEN,Town of EDEN Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,99,85,2,0,attorney general
IOWA,Town of HIGHLAND,Town of HIGHLAND Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,170,170,1,0,attorney general
IOWA,Town of LINDEN,Town of LINDEN Wards 1-3,Congressional - District 2,State Senate - District 17,Assembly - District 51,183,143,7,0,attorney general
IOWA,Town of MIFFLIN,Town of MIFFLIN Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,119,95,7,0,attorney general
IOWA,Town of MINERAL POINT,Town of MINERAL POINT Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,263,208,4,0,attorney general
IOWA,Town of MOSCOW,Town of MOSCOW Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,124,183,4,0,attorney general
IOWA,Town of PULASKI,Town of PULASKI Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,77,56,2,1,attorney general
IOWA,Town of RIDGEWAY,Town of RIDGEWAY Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,120,205,5,0,attorney general
IOWA,Town of WALDWICK,Town of WALDWICK Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,112,125,6,0,attorney general
IOWA,Town of WYOMING,Town of WYOMING Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,67,148,2,0,attorney general
IOWA,Village of ARENA,Village of ARENA Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 81,139,211,9,0,attorney general
IOWA,Village of AVOCA,Village of AVOCA Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,76,104,7,0,attorney general
IOWA,Village of BARNEVELD,Village of BARNEVELD Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,217,346,12,2,attorney general
IOWA,VILLAGE OF BLANCHARDVILLE,VILLAGE OF BLANCHARDVILLE Ward 2,Congressional - District 2,State Senate - District 17,Assembly - District 51,29,48,3,0,attorney general
IOWA,Village of COBB,Village of COBB Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,90,118,9,0,attorney general
IOWA,Village of HIGHLAND,Village of HIGHLAND Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,146,179,8,0,attorney general
IOWA,Village of HOLLANDALE,Village of HOLLANDALE Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,32,94,4,0,attorney general
IOWA,Village of LINDEN,Village of LINDEN Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,72,112,3,0,attorney general
IOWA,VILLAGE OF LIVINGSTON,VILLAGE OF LIVINGSTON Ward 2,Congressional - District 2,State Senate - District 17,Assembly - District 49,1,0,0,0,attorney general
IOWA,VILLAGE OF MONTFORT,VILLAGE OF MONTFORT Ward 2,Congressional - District 2,State Senate - District 17,Assembly - District 49,24,24,0,0,attorney general
IOWA,VILLAGE OF MUSCODA,VILLAGE OF MUSCODA Ward 3,Congressional - District 2,State Senate - District 17,Assembly - District 49,8,5,0,0,attorney general
IOWA,Village of REWEY,Village of REWEY Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,34,52,2,0,attorney general
IOWA,Village of RIDGEWAY,Village of RIDGEWAY Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,93,156,12,0,attorney general
IOWA,City of DODGEVILLE,City of DODGEVILLE Wards 1-10,Congressional - District 2,State Senate - District 17,Assembly - District 51,791,1263,43,0,attorney general
IOWA,City of MINERAL POINT,City of MINERAL POINT Wards 1-6,Congressional - District 2,State Senate - District 17,Assembly - District 51,422,836,17,0,attorney general
IRON,Town of ANDERSON,Town of ANDERSON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,17,19,0,0,attorney general
IRON,Town of CAREY,Town of CAREY Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,52,25,1,0,attorney general
IRON,Town of GURNEY,Town of GURNEY Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,38,40,1,0,attorney general
IRON,Town of KIMBALL,Town of KIMBALL Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,136,117,4,0,attorney general
IRON,Town of KNIGHT,Town of KNIGHT Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,41,39,1,0,attorney general
IRON,Town of MERCER,Town of MERCER Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,581,330,12,0,attorney general
IRON,Town of OMA,Town of OMA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,132,77,1,0,attorney general
IRON,Town of PENCE,Town of PENCE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,41,44,1,0,attorney general
IRON,Town of SAXON,Town of SAXON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,97,71,1,0,attorney general
IRON,Town of SHERMAN,Town of SHERMAN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,119,77,2,0,attorney general
IRON,City of HURLEY,City of HURLEY Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,84,86,1,0,attorney general
IRON,City of HURLEY,City of HURLEY Ward 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,79,85,3,0,attorney general
IRON,City of HURLEY,City of HURLEY Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,54,44,1,0,attorney general
IRON,City of HURLEY,City of HURLEY Ward 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,65,75,3,0,attorney general
IRON,City of MONTREAL,City of MONTREAL Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,166,169,7,0,attorney general
JACKSON,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 31,Assembly - District 92,375,315,15,0,attorney general
JACKSON,Town of ALBION,Town of ALBION Wards 1-4,Congressional - District 3,State Senate - District 31,Assembly - District 92,292,260,19,0,attorney general
JACKSON,Town of ALMA,"Town of ALMA Wards 1,4",Congressional - District 7,State Senate - District 31,Assembly - District 92,63,45,2,0,attorney general
JACKSON,Town of ALMA,"Town of ALMA Wards 2-3,5",Congressional - District 3,State Senate - District 31,Assembly - District 92,167,115,4,0,attorney general
JACKSON,Town of BEAR BLUFF,Town of BEAR BLUFF Ward 1,Congressional - District 7,State Senate - District 24,Assembly - District 70,57,12,2,0,attorney general
JACKSON,Town of BROCKWAY,Town of BROCKWAY Wards 1-6,Congressional - District 3,State Senate - District 31,Assembly - District 92,234,414,18,0,attorney general
JACKSON,Town of CITY POINT,Town of CITY POINT Ward 1,Congressional - District 7,State Senate - District 24,Assembly - District 70,43,32,4,0,attorney general
JACKSON,Town of CLEVELAND,Town of CLEVELAND Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,133,79,6,0,attorney general
JACKSON,Town of CURRAN,Town of CURRAN Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,58,68,7,0,attorney general
JACKSON,Town of FRANKLIN,Town of FRANKLIN Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,68,68,7,0,attorney general
JACKSON,Town of GARDEN VALLEY,Town of GARDEN VALLEY Ward 1,Congressional - District 7,State Senate - District 31,Assembly - District 92,129,67,3,0,attorney general
JACKSON,Town of GARFIELD,Town of GARFIELD Ward 1,Congressional - District 3,State Senate - District 23,Assembly - District 68,171,108,10,0,attorney general
JACKSON,Town of HIXTON,Town of HIXTON Wards 1-2,Congressional - District 3,State Senate - District 31,Assembly - District 92,150,89,9,0,attorney general
JACKSON,Town of IRVING,Town of IRVING Wards 1-3,Congressional - District 3,State Senate - District 31,Assembly - District 92,150,150,10,0,attorney general
JACKSON,Town of KNAPP,Town of KNAPP Ward 1,Congressional - District 7,State Senate - District 24,Assembly - District 70,118,40,7,0,attorney general
JACKSON,Town of KOMENSKY,Town of KOMENSKY Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,21,108,3,0,attorney general
JACKSON,Town of MANCHESTER,Town of MANCHESTER Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 70,191,143,8,0,attorney general
JACKSON,Town of MELROSE,Town of MELROSE Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,111,62,7,0,attorney general
JACKSON,Town of MILLSTON,Town of MILLSTON Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 70,47,37,3,0,attorney general
JACKSON,Town of NORTH BEND,Town of NORTH BEND Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,111,103,8,0,attorney general
JACKSON,Town of NORTHFIELD,Town of NORTHFIELD Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,161,118,7,0,attorney general
JACKSON,Town of SPRINGFIELD,Town of SPRINGFIELD Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,111,84,4,0,attorney general
JACKSON,Village of ALMA CENTER,Village of ALMA CENTER Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,76,101,9,0,attorney general
JACKSON,Village of HIXTON,Village of HIXTON Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,77,92,4,0,attorney general
JACKSON,Village of MELROSE,Village of MELROSE Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,104,102,12,0,attorney general
JACKSON,Village of MERRILLAN,Village of MERRILLAN Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,84,99,11,0,attorney general
JACKSON,Village of TAYLOR,Village of TAYLOR Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,66,67,5,0,attorney general
JACKSON,City of BLACK RIVER FALLS,City of BLACK RIVER FALLS Ward 1,Congressional - District 3,State Senate - District 31,Assembly - District 92,195,238,6,0,attorney general
JACKSON,City of BLACK RIVER FALLS,City of BLACK RIVER FALLS Ward 2,Congressional - District 3,State Senate - District 31,Assembly - District 92,126,190,10,0,attorney general
JACKSON,City of BLACK RIVER FALLS,City of BLACK RIVER FALLS Ward 3,Congressional - District 3,State Senate - District 31,Assembly - District 92,76,155,6,0,attorney general
JACKSON,City of BLACK RIVER FALLS,City of BLACK RIVER FALLS Ward 4,Congressional - District 3,State Senate - District 31,Assembly - District 92,182,181,7,0,attorney general
JEFFERSON,Town of AZTALAN,Town of AZTALAN Wards 1-2,Congressional - District 5,State Senate - District 13,Assembly - District 38,415,298,5,0,attorney general
JEFFERSON,Town of COLD SPRING,Town of COLD SPRING Ward 1,Congressional - District 5,State Senate - District 15,Assembly - District 43,262,143,5,0,attorney general
JEFFERSON,Town of CONCORD,Town of CONCORD Wards 1-3,Congressional - District 5,State Senate - District 13,Assembly - District 38,766,317,11,0,attorney general
JEFFERSON,Town of FARMINGTON,Town of FARMINGTON Wards 1-2,Congressional - District 5,State Senate - District 13,Assembly - District 38,547,231,13,0,attorney general
JEFFERSON,Town of HEBRON,Town of HEBRON Wards 1-2,Congressional - District 5,State Senate - District 11,Assembly - District 33,371,179,9,0,attorney general
JEFFERSON,Town of IXONIA,Town of IXONIA Wards 1-6,Congressional - District 5,State Senate - District 13,Assembly - District 37,1851,621,39,0,attorney general
JEFFERSON,Town of JEFFERSON,Town of JEFFERSON Wards 1-3,Congressional - District 5,State Senate - District 11,Assembly - District 33,653,361,11,0,attorney general
JEFFERSON,Town of KOSHKONONG,"Town of KOSHKONONG Wards 1,6",Congressional - District 5,State Senate - District 11,Assembly - District 33,115,84,5,0,attorney general
JEFFERSON,Town of KOSHKONONG,Town of KOSHKONONG Wards 2-5,Congressional - District 5,State Senate - District 15,Assembly - District 43,927,645,33,1,attorney general
JEFFERSON,Town of LAKE MILLS,Town of LAKE MILLS Wards 1-3,Congressional - District 5,State Senate - District 13,Assembly - District 38,614,569,17,1,attorney general
JEFFERSON,Town of MILFORD,Town of MILFORD Wards 1-2,Congressional - District 5,State Senate - District 13,Assembly - District 38,344,221,10,0,attorney general
JEFFERSON,Town of OAKLAND,Town of OAKLAND Wards 1-4,Congressional - District 5,State Senate - District 11,Assembly - District 33,852,915,26,0,attorney general
JEFFERSON,Town of PALMYRA,Town of PALMYRA Wards 1-2,Congressional - District 5,State Senate - District 11,Assembly - District 33,486,197,12,0,attorney general
JEFFERSON,Town of SULLIVAN,Town of SULLIVAN Wards 1-3,Congressional - District 5,State Senate - District 11,Assembly - District 33,828,354,21,0,attorney general
JEFFERSON,Town of SUMNER,Town of SUMNER Ward 1,Congressional - District 5,State Senate - District 15,Assembly - District 43,272,200,6,0,attorney general
JEFFERSON,Town of WATERLOO,Town of WATERLOO Ward 1,Congressional - District 5,State Senate - District 13,Assembly - District 38,294,182,6,0,attorney general
JEFFERSON,Town of WATERTOWN,Town of WATERTOWN Wards 1-2,Congressional - District 5,State Senate - District 13,Assembly - District 38,722,273,9,0,attorney general
JEFFERSON,VILLAGE OF CAMBRIDGE,VILLAGE OF CAMBRIDGE Ward 1,Congressional - District 5,State Senate - District 13,Assembly - District 38,12,27,0,0,attorney general
JEFFERSON,Village of JOHNSON CREEK,Village of JOHNSON CREEK Wards 1-3,Congressional - District 5,State Senate - District 13,Assembly - District 38,807,524,26,0,attorney general
JEFFERSON,VILLAGE OF LAC LA BELLE,VILLAGE OF LAC LA BELLE Ward 2,Congressional - District 5,State Senate - District 13,Assembly - District 38,0,0,0,0,attorney general
JEFFERSON,Village of PALMYRA,Village of PALMYRA Wards 1-2,Congressional - District 5,State Senate - District 11,Assembly - District 33,500,251,10,1,attorney general
JEFFERSON,Village of SULLIVAN,Village of SULLIVAN Ward 1,Congressional - District 5,State Senate - District 11,Assembly - District 33,222,107,5,0,attorney general
JEFFERSON,City of FORT ATKINSON,City of FORT ATKINSON Wards 1-2,Congressional - District 5,State Senate - District 11,Assembly - District 33,568,740,18,0,attorney general
JEFFERSON,City of FORT ATKINSON,City of FORT ATKINSON Wards 3-4,Congressional - District 5,State Senate - District 11,Assembly - District 33,522,601,23,0,attorney general
JEFFERSON,City of FORT ATKINSON,City of FORT ATKINSON Wards 5-6,Congressional - District 5,State Senate - District 11,Assembly - District 33,391,497,21,1,attorney general
JEFFERSON,City of FORT ATKINSON,"City of FORT ATKINSON Wards 7,9",Congressional - District 5,State Senate - District 11,Assembly - District 33,462,620,12,0,attorney general
JEFFERSON,City of FORT ATKINSON,City of FORT ATKINSON Ward 8,Congressional - District 5,State Senate - District 11,Assembly - District 33,282,293,12,1,attorney general
JEFFERSON,City of JEFFERSON,City of JEFFERSON Wards 1-10,Congressional - District 5,State Senate - District 11,Assembly - District 33,1524,1434,56,0,attorney general
JEFFERSON,City of JEFFERSON,City of JEFFERSON Ward 11,Congressional - District 5,State Senate - District 13,Assembly - District 38,0,0,0,0,attorney general
JEFFERSON,City of LAKE MILLS,City of LAKE MILLS Wards 1-8,Congressional - District 5,State Senate - District 13,Assembly - District 38,1328,1683,50,1,attorney general
JEFFERSON,City of WATERLOO,City of WATERLOO Wards 1-5,Congressional - District 5,State Senate - District 13,Assembly - District 37,672,690,20,1,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Ward 8,Congressional - District 5,State Senate - District 13,Assembly - District 37,187,129,5,0,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Wards 9-10,Congressional - District 5,State Senate - District 13,Assembly - District 37,565,284,25,0,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Wards 11-12,Congressional - District 5,State Senate - District 13,Assembly - District 37,509,318,15,1,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Wards 13-14,Congressional - District 5,State Senate - District 13,Assembly - District 37,607,380,19,0,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Wards 15-16,Congressional - District 5,State Senate - District 13,Assembly - District 37,618,421,28,1,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Wards 17-18,Congressional - District 5,State Senate - District 13,Assembly - District 37,917,447,17,1,attorney general
JEFFERSON,City of WATERTOWN,City of WATERTOWN Ward 19,Congressional - District 5,State Senate - District 13,Assembly - District 38,0,0,0,0,attorney general
JEFFERSON,CITY OF WHITEWATER,CITY OF WHITEWATER Wards 10-11,Congressional - District 5,State Senate - District 15,Assembly - District 43,179,278,11,0,attorney general
JEFFERSON,CITY OF WHITEWATER,CITY OF WHITEWATER Ward 12,Congressional - District 5,State Senate - District 15,Assembly - District 43,161,221,5,1,attorney general
JUNEAU,Town of ARMENIA,Town of ARMENIA Ward 1,Congressional - District 7,State Senate - District 17,Assembly - District 50,197,124,4,0,attorney general
JUNEAU,Town of CLEARFIELD,Town of CLEARFIELD Ward 1,Congressional - District 7,State Senate - District 17,Assembly - District 50,162,109,10,0,attorney general
JUNEAU,Town of CLEARFIELD,Town of CLEARFIELD Ward 2,Congressional - District 3,State Senate - District 17,Assembly - District 50,40,20,6,0,attorney general
JUNEAU,Town of CUTLER,Town of CUTLER Ward 1,Congressional - District 7,State Senate - District 17,Assembly - District 50,103,54,4,0,attorney general
JUNEAU,Town of FINLEY,Town of FINLEY Ward 1,Congressional - District 7,State Senate - District 17,Assembly - District 50,44,13,1,0,attorney general
JUNEAU,Town of FOUNTAIN,Town of FOUNTAIN Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 50,171,103,8,0,attorney general
JUNEAU,Town of GERMANTOWN,"Town of GERMANTOWN Wards 1,3",Congressional - District 3,State Senate - District 17,Assembly - District 50,255,110,5,1,attorney general
JUNEAU,Town of GERMANTOWN,Town of GERMANTOWN Ward 2,Congressional - District 7,State Senate - District 17,Assembly - District 50,231,120,2,0,attorney general
JUNEAU,Town of KILDARE,Town of KILDARE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,166,102,3,0,attorney general
JUNEAU,Town of KINGSTON,Town of KINGSTON Ward 1,Congressional - District 7,State Senate - District 17,Assembly - District 50,13,2,0,0,attorney general
JUNEAU,Town of LEMONWEIR,Town of LEMONWEIR Wards 1-4,Congressional - District 3,State Senate - District 17,Assembly - District 50,378,251,11,0,attorney general
JUNEAU,Town of LINDINA,Town of LINDINA Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,201,152,10,0,attorney general
JUNEAU,Town of LISBON,Town of LISBON Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 50,229,148,9,0,attorney general
JUNEAU,Town of LISBON,Town of LISBON Ward 3,Congressional - District 7,State Senate - District 17,Assembly - District 50,4,0,0,0,attorney general
JUNEAU,Town of LYNDON,Town of LYNDON Wards 1-3,Congressional - District 3,State Senate - District 17,Assembly - District 50,290,286,18,0,attorney general
JUNEAU,Town of MARION,Town of MARION Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,134,58,2,0,attorney general
JUNEAU,Town of NECEDAH,Town of NECEDAH Wards 1-4,Congressional - District 7,State Senate - District 17,Assembly - District 50,678,320,22,0,attorney general
JUNEAU,Town of ORANGE,Town of ORANGE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,139,90,2,0,attorney general
JUNEAU,Town of PLYMOUTH,Town of PLYMOUTH Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,177,106,4,0,attorney general
JUNEAU,Town of SEVEN MILE CREEK,Town of SEVEN MILE CREEK Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 50,84,63,1,0,attorney general
JUNEAU,Town of SUMMIT,Town of SUMMIT Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,176,109,1,0,attorney general
JUNEAU,Town of WONEWOC,Town of WONEWOC Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 50,176,98,4,0,attorney general
JUNEAU,Village of CAMP DOUGLAS,Village of CAMP DOUGLAS Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,123,92,5,0,attorney general
JUNEAU,Village of HUSTLER,Village of HUSTLER Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,33,50,4,0,attorney general
JUNEAU,Village of LYNDON STATION,Village of LYNDON STATION Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,85,75,5,0,attorney general
JUNEAU,Village of NECEDAH,Village of NECEDAH Ward 1,Congressional - District 7,State Senate - District 17,Assembly - District 50,166,140,11,0,attorney general
JUNEAU,Village of UNION CENTER,Village of UNION CENTER Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,51,28,2,0,attorney general
JUNEAU,Village of WONEWOC,Village of WONEWOC Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 50,152,119,4,0,attorney general
JUNEAU,City of ELROY,City of ELROY Wards 1-7,Congressional - District 3,State Senate - District 17,Assembly - District 50,213,206,11,0,attorney general
JUNEAU,City of MAUSTON,City of MAUSTON Wards 1-7,Congressional - District 3,State Senate - District 17,Assembly - District 50,636,637,34,0,attorney general
JUNEAU,City of NEW LISBON,City of NEW LISBON Wards 1-7,Congressional - District 3,State Senate - District 17,Assembly - District 50,301,200,17,0,attorney general
JUNEAU,CITY OF WISCONSIN DELLS,CITY OF WISCONSIN DELLS Ward 7,Congressional - District 3,State Senate - District 14,Assembly - District 41,0,0,0,0,attorney general
KENOSHA,Town of BRIGHTON,Town of BRIGHTON Wards 1-4,Congressional - District 1,State Senate - District 21,Assembly - District 61,553,241,10,0,attorney general
